CONTENT,SPAM
"Huh, anyway check out this you[tube] channel: kobyoshi02",1
"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
just for test I have to say murdev.com,1
me shaking my sexy ass on my channel enjoy ^_^ ﻿,1
Thank you sir !!,0
Thank you very much,0
Thank you!,0
Thanks alot!,0
watch?v=vtaRGgvGtWQ   Check this out .﻿,1
"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
Subscribe to my channel ﻿,1
i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0
You should check my channel for Funny VIDEOS!!﻿,1
and u should.d check my channel and tell me what I should do next!﻿,1
Hey subscribe to me﻿,1
 Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
https://twitter.com/GBphotographyGB﻿,1
subscribe like comment﻿,1
please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1
"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1
I'm only checking the views﻿,0
http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1
"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1
i think about 100 millions of the views come from people who only wanted to  check the views﻿,0
subscribe to my channel people :D﻿,1
Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1
just checking the views﻿,0
CHECK OUT MY CHANNEL,1
marketglory . com/strategygame/andrijamatf earn real money from game,1
Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1
Check me out! I'm kyle. I rap so yeah ﻿,1
I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0
"Subscribe to me for free Android games, apps.. ﻿",1
everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1
"Came here to check the views, goodbye.﻿",0
sub my channel for no reason -_-﻿,1
"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1
2 billion....Coming soon﻿,0
Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0
Check my channel please! And listen to the best music ever :P﻿,1
SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1
" Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1
